old_url,new_shopify_url,link_kind,reason
/specials/images/MUL-T-LOCK-C10PC1_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/KWI-BL-finishes.jpg?v=1704354680,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-C10PC2_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/KWI-CV-Installed.jpg?v=1704354550,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-C10PC3_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/KWI-P-Finishes.jpg?v=1704354619,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-C13PC1_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/KWI-T-Installed.jpg?v=1704354583,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-C13PC2_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/kwikset-camino-dummy-size.jpg?v=1704442286,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-C13PC3_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/kwikset-camino-size.jpg?v=1704442286,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-C16RC1_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-234-Side.jpg?v=1704354768,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-C35SB_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-37404-SM.jpg?v=1704354615,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-E08HE_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-37406-SM.jpg?v=1704354614,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-E08LE1_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-37420-SM.jpg?v=1704354614,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-E08LE2_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-37428-SM.jpg?v=1704354614,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-E08LE3_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-37466-SM.jpg?v=1704354614,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-E11HE_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-38204.jpg?v=1704354726,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-E11LE1_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-38228.jpg?v=1704354726,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-E11LE2_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-38266.jpg?v=1704354726,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-E11LE3_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-38428-SM.jpg?v=1704354613,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-E11SBP_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-38466-SM.jpg?v=1704354613,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-E11SBR_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-38476-SM.jpg?v=1704354613,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-E13SBR_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-39020.jpg?v=1704354742,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-E14HE_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-39028.jpg?v=1704354742,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-E14LE1_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-39120.jpg?v=1704354672,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-E14LE2_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-39128.jpg?v=1704354672,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-E14LE3_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-39206-SM.jpg?v=1704354588,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-G47G1_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-39220-SM.jpg?v=1704354588,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-G55G1_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-39266-SM.jpg?v=1704354588,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-G55P_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-39620-SM.jpg?v=1704354656,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-NE10HE1_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-39666-SM.jpg?v=1704354656,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-NE10LE1_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-39720-SM.jpg?v=1704354542,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-TR100_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-39766-SM.jpg?v=1704354543,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-TSR25_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-41026-SM.jpg?v=1704354526,asset,filename_mismatch_manual_mapping
/specials/images/MUL-T-LOCK-TSR50_size.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-41028-SM.jpg?v=1704354526,asset,filename_mismatch_manual_mapping
/specials/images/OMN-10-specifications.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-54620-SM.jpg?v=1704354652,asset,filename_mismatch_manual_mapping
/specials/images/OMN-11-specifications.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-54626-SM.jpg?v=1704354587,asset,filename_mismatch_manual_mapping
/specials/images/OMN-12-D9000-Specifications.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-54628-SM.jpg?v=1704354587,asset,filename_mismatch_manual_mapping
/specials/images/OMN-12-specifications.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-54666-SM.jpg?v=1704354652,asset,filename_mismatch_manual_mapping
/specials/images/OMN-12S-D9000SA-specifications.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-55505-SM.jpg?v=1704354520,asset,filename_mismatch_manual_mapping
/specials/images/OMN-12S-D9000SAC-specifications.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-55526-SM.jpg?v=1704354514,asset,filename_mismatch_manual_mapping
/specials/images/OMN-12S-specifications.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-55537-SM.jpg?v=1704354521,asset,filename_mismatch_manual_mapping
/specials/images/OMN-15-specifications.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-55559-SM.jpg?v=1704354514,asset,filename_mismatch_manual_mapping
/specials/images/OMN-18-specifications.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-55566-SM.jpg?v=1704354520,asset,filename_mismatch_manual_mapping
/specials/images/OMN-19-specifications.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-55577-SM.jpg?v=1704354520,asset,filename_mismatch_manual_mapping
/specials/images/OMN-22-specifications.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-55926-SM.jpg?v=1704354595,asset,filename_mismatch_manual_mapping
/specials/images/OMN-23-specifications.gif,https://cdn.shopify.com/s/files/1/0766/1489/3857/files/LAU-55928-SM.jpg?v=1704354595,asset,filename_mismatch_manual_mapping
